,cmte_id,cmte_nm,name,file_year,other_id,sum
162,C00079541,NARAL PRO-CHOICE AMERICA PAC,SESTAK FOR SENATE,2010,C00465492,10000.0
163,C00079541,NARAL PRO-CHOICE AMERICA PAC,EQUALITY PAC,2020,C00550970,10000.0
164,C00079541,NARAL PRO-CHOICE AMERICA PAC,EQUALITY PAC,2022,C00550970,10000.0
165,C00079541,NARAL PRO-CHOICE AMERICA PAC,SCHOLTEN FOR CONGRESS,2022,C00711317,10000.0
166,C00079541,NARAL PRO-CHOICE AMERICA PAC,SCHAUER FOR CONGRESS,2010,C00438341,10000.0
167,C00079541,NARAL PRO-CHOICE AMERICA PAC,FEINGOLD SENATE COMMITTEE,2010,C00279901,10000.0
168,C00079541,NARAL PRO-CHOICE AMERICA PAC,BERA FOR CONGRESS,2012,C00461061,10000.0
169,C00079541,NARAL PRO-CHOICE AMERICA PAC,BERA FOR CONGRESS,2014,C00461061,10000.0
170,C00079541,NARAL PRO-CHOICE AMERICA PAC,BERKLEY FOR SENATE,2012,C00325738,10000.0
171,C90004185,NARAL PRO-CHOICE AMERICA,76 WORDS,2020,S4NC00162,10000.0
172,C90004185,NARAL PRO-CHOICE AMERICA,76 WORDS,2020,S0MN00328,10000.0
173,C00079541,NARAL PRO-CHOICE AMERICA PAC,ADLER FOR CONGRESS,2010,C00439067,10000.0
174,C00079541,NARAL PRO-CHOICE AMERICA PAC,ALISON FOR KENTUCKY,2014,C00547083,10000.0
175,C00079541,NARAL PRO-CHOICE AMERICA PAC,BETTY SUTTON FOR CONGRESS,2012,C00417816,10000.0
176,C00079541,NARAL PRO-CHOICE AMERICA PAC,RON BARBER FOR CONGRESS,2012,C00512129,10000.0
177,C00079541,NARAL PRO-CHOICE AMERICA PAC,BILL FOSTER FOR CONGRESS,2012,C00435099,10000.0
178,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF CHRIS MURPHY,2012,C00492645,10000.0
179,C00079541,NARAL PRO-CHOICE AMERICA PAC,ROB ZERBAN FOR CONGRESS,2012,C00495523,10000.0
180,C00079541,NARAL PRO-CHOICE AMERICA PAC,ROBIN CARNAHAN FOR SENATE,2010,C00458778,10000.0
181,C00079541,NARAL PRO-CHOICE AMERICA PAC,RICHMOND FOR CONGRESS,2010,C00451336,10000.0
182,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF DAN MAFFEI,2012,C00417550,10000.0
183,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF JULIAN SCHREIBMAN,2012,C00513739,10000.0
184,C00079541,NARAL PRO-CHOICE AMERICA PAC,BILL OWENS FOR CONGRESS,2012,C00464495,10000.0
185,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF LOIS CAPPS,2012,C00331389,10000.0
186,C00079541,NARAL PRO-CHOICE AMERICA PAC,PEOPLE FOR PATTY MURRAY,2010,C00257642,10000.0
187,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF MAZIE HIRONO,2012,C00420760,10000.0
188,C00079541,NARAL PRO-CHOICE AMERICA PAC,PEOPLE FOR DEREK KILMER,2012,C00514893,10000.0
189,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF PATRICK MURPHY,2012,C00493825,10000.0
190,C00079541,NARAL PRO-CHOICE AMERICA PAC,PATRICK MURPHY FOR CONGRESS,2010,C00411991,10000.0
191,C00079541,NARAL PRO-CHOICE AMERICA PAC,OCEGUERA FOR CONGRESS,2012,C00499962,10000.0
192,C00079541,NARAL PRO-CHOICE AMERICA PAC,NIKKI FOR CONGRESS,2022,C00787812,10000.0
193,C00079541,NARAL PRO-CHOICE AMERICA PAC,SPANBERGER FOR CONGRESS,2020,C00649913,9600.0
194,C00079541,NARAL PRO-CHOICE AMERICA PAC,GINA ORTIZ JONES FOR CONGRESS,2020,C00652297,8525.0
195,C90004185,NARAL PRO-CHOICE AMERICA,CIVIS ANALYTICS,2016,S0NH00235,8500.0
196,C00079541,NARAL PRO-CHOICE AMERICA PAC,ANGIE CRAIG FOR CONGRESS,2016,C00575209,8200.0
197,C90004185,NARAL PRO-CHOICE AMERICA,BW MEDIA,2020,S0MN00328,8099.0
198,C90004185,NARAL PRO-CHOICE AMERICA,BW MEDIA,2020,S4NC00162,8099.0
199,C00079541,NARAL PRO-CHOICE AMERICA PAC,PETERS FOR MICHIGAN,2014,C00437889,8000.0
200,C00079541,NARAL PRO-CHOICE AMERICA PAC,WENDY DAVIS FOR CONGRESS,2020,C00713297,8000.0
201,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF JEANNE SHAHEEN,2014,C00457325,8000.0
202,C00079541,NARAL PRO-CHOICE AMERICA PAC,FRIENDS OF BARBARA BOXER,2010,C00279315,8000.0
