,cmte_id,cmte_nm,name,other_id,sum
132,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ASPIRE PAC,C00506907,7500.0
133,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ACTION FUND,C00568931,7489.0
134,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",MARK KELLY FOR SENATE,C00696526,7410.0
135,C00489799,PLANNED PARENTHOOD VOTES,CHONG + KOSTER,S0AZ00350,7166.0
136,C00489799,PLANNED PARENTHOOD VOTES,DELIVER STRATEGIES,H2PA17103,7112.0
137,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),THE PIVOT GROUP,S2NV00324,7065.0
138,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TOM O'HALLERAN FOR CONGRESS,C00582890,7000.0
139,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CHRIS PAPPAS FOR CONGRESS,C00660464,7000.0
140,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ELISSA SLOTKIN FOR CONGRESS,C00650150,7000.0
141,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",FRIENDS OF DAN KILDEE,C00499947,7000.0
142,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",STANTON FOR CONGRESS,C00657304,7000.0
143,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",COMMITTEE TO ELECT JARED GOLDEN,C00653816,7000.0
144,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",FRIENDS OF JAHANA HAYES,C00677898,6910.0
145,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",SHARICE FOR CONGRESS,C00670034,6882.0
146,C00742080,"PLANNED PARENTHOOD ALLIANCE PAC , SERVING WA, AK, ID, HI, IN, KY",STONES PHONES,S2WA00189,6802.0
147,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",CONGRESSIONAL BLACK CAUCUS PAC,C00147512,6797.0
148,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",DR KIM SCHRIER FOR CONGRESS,C00652628,6788.0
149,C00489799,PLANNED PARENTHOOD VOTES,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,C00603084,6500.0
150,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD PENNSYLVANIA ADVOCATES,S6PA00274,6487.0
151,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),NREAL,S6NV00200,6087.0
152,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",GEORGIA SENATE VICTORY FUND,C00751339,6000.0
153,C00688432,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST,H8CA49058,5753.0
154,C00489799,PLANNED PARENTHOOD VOTES,PLANNED PARENTHOOD ADVOCATES OF ARIZONA,S2AZ00372,5536.0
155,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JESSICA CISNEROS FOR CONGRESS,C00709006,5500.0
156,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,OPEN HAND MEDIA,,5497.0
157,C00489799,PLANNED PARENTHOOD VOTES,RESONANCE CAMPAIGNS,S2AZ00372,5217.0
158,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TIM RYAN FOR OHIO,C00777771,5000.0
159,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JOSH RILEY FOR CONGRESS,C00793760,5000.0
160,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JEFF JACKSON FOR CONGRESS,C00767400,5000.0
161,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",TONY VARGAS FOR CONGRESS,C00784371,5000.0
162,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JAY CHEN FOR CONGRESS,C00665695,5000.0
163,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",VAL HOYLE FOR CONGRESS,C00796144,5000.0
164,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",JACKIE GORDON FOR CONGRESS,C00706549,5000.0
165,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",GABE VASQUEZ FOR CONGRESS,C00789404,5000.0
166,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",FRIENDS OF JEVIN D. HODGE,C00778464,5000.0
167,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",WILEY NICKEL FOR CONGRESS,C00763045,5000.0
168,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",WILL ROLLINS FOR CONGRESS,C00792507,5000.0
169,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ZIMMERMAN FOR CONGRESS,C00801324,5000.0
170,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ERIC SORENSEN FOR ILLINOIS,C00793935,5000.0
171,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",EQUALITY PAC,C00550970,5000.0
172,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",ENGEL FOR ARIZONA,C00773820,5000.0
173,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H0CA25154,5000.0
174,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H2CA13115,5000.0
175,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H2CA21233,5000.0
176,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",UPLIFT,H2CA39136,5000.0
